0,Default
1,Wild
2,Cherry
3,Volcanic
4,Node
5,Elite
6,Veteran
7,Metro
8,Waves
9,Bubble Gum
10,Flow
11,Plasma
12,Sport
13,Hot Oak
14,Arctic Digital
15,Lizard
16,Gold Digger
17,Hardened
18,Antique
19,Rising Soul
20,Hot Rod
21,SDS
22,Royal
23,Monster
24,Hunter
25,Liquid
26,Urban Phoenix
27,Nuclear
28,Bamboo
29,Nexus
30,Comic
31,Super Sonic
32,Snakeskin
33,Generic Leopard
34,Metalcamo
35,Monochrome
36,Atlantic
37,Interstellar
38,Biohazard
39,Relentless Skulls
40,Skeleton Fallout
41,Mystery Hollow
42,Melancholy Hill
43,Holographic
45,Red Light
46,Golden
48,Moderno
49,Gardens
50,Soap
51,Green Light
52,Wirey
53,Radiation
55,Red Death
56,Creeps
57,Lizard Skin
58,Burning Sky
59,Samurai
60,Shooting Stars
61,Gummies
70,Purple Light
71,Sakura
72,Galaxy
73,Skelly
74,Blossom
75,Seaside
76,Blayze
77,Green Widow
78,Pixequa
80,Green Light
81,Basilisk
82,Glass
83,Bandage
1002,Thunder
1003,Electric
1004,SPEED
1005,Leopard
1006,Hazard
1007,Snake
1008,Voodoo
1009,Toxic
1010,Surge
1011,RIP
1012,Feather
1013,Plague
1014,Swirl
1015,Beast
1016,Patriot
1017,Brave
1018,Hypebeast
1019,Christmas
1020,Valentine
1021,Loyalty
1022,HolyWar
1023,Atlas
1024,Sky
1025,Cosmos
1026,Lime
1027,Modern
1028,Style
1029,BloodRush
1030,Overpowered
1031,Noble
1032,Fury
1033,Pride
1034,Ramses
1035,GA83
1036,Blaze
1037,Luxus
1038,Retro
1039,SummerCup
1040,Haunted
1041,Witch
1042,Scarecrow
1043,Skeleton
1044,Spider
1045,Zombie
1046,Ghost
1047,Pumpkin
1048,DarkBeetle
1049,Athlete
1050,Tiger
1051,Techno
1052,Bear
1053,Mystic
1054,AncientScript
1055,USA
1056,Argentina
1057,Brazil
1058,Russia
1059,UK
1060,BattleOfGlory
1061,Antique
1062,Lore
1063,ArtOfWarfare
1064,Gankstars
1065,D2RWIN
1066,Marine
1067,Reaper
1068,Liquid
1069,Complex
1070,CrimeQueen
1071,TheForest
1072,ThePrincess
1073,Freedom
1074,Icestorm
1075,Convolution
1076,IceLion
1077,Fade
1078,Flowing
1079,LinearForce
1080,BloodCrow
1081,PrintTheme
1082,Rektores
1083,BloodMoon
1084,Gravedigger
1085,Hitman
1086,Icy
1087,Prime
1088,Kea
1089,Frostbite
1090,Isaamov
1091,Berzerk
1092,Ravage
1093,Logistics
1094,Flaming Death
1095,Prime Venom
1096,Tropicana
1097,Mayan
1098,Digitron
1099,Futuro
1100,Samurai
1101,Jali
1102,Octamos
1103,Odyssey
1104,Reaper
1105,Hard Edge
1106,Venomous
1107,Joker
1108,Basilisk
1109,Pixaqua 
10000,Commoners
10001,Florascent
10002,Prince
10006,Dune
10007,Venom
10008,Jungle
10010,Inferno
10011,Voltage
10013,Raptor
10014,Webbed
10016,Ramses
10017,Moon Light
10019,Petrified
10021,Yuletide
10023,Winterforge
10025,Ceramic Relic
10029,Dreamwave
10030,Yellow Light
10032,Blayze
10033,Seaside
10034,Sakura
10035,Pixequa
10036,Green Widow
10037,Odyssey
10038,Pyreclaw
10040,Fee
10041,Cloudy
10043,Foil
10045,None
10046,TheBeast
10047,Freedom
10049,Rattle Snake
10050,MM26
10051,Chromashift
10052,Mystic
10055,Whiteout
10056,Brilliant Flame Silver
10058,Brilliant Flame Crimson
10060,Brilliant Flame Teal
10062,Brilliant Flame Bronze
10069,Purple Viper
