1,Forest
2,Hex
3,Snake
4,Maze
5,Disco
6,Joker
7,Hazard
8,Gore
9,Crosshairs
10,Kazam
11,Ramses
12,Infected
13,Quadratic
14,Leopard
15,Mechanism
16,Blaze
17,Boss
18,Desert
19,Hornet
20,Prince
21,Luxis
22,Retro
23,Haunted
24,Witch
25,Scarecrow
26,Skeleton
27,Spider
28,Zombie
29,Ghost
30,Pumpkin
31,Tiger
32,Node
33,Volcanic
34,Goth
35,Nuclear
36,Bamboo
37,Nexus
38,Disco2
39,Waves
40,Brazil
43,Loyalty
46,Hitman
47,Overpowered
48,Cosmos
49,Gold Snake
50,Feather
51,Nine Lives
52,Danger
53,Endurance
54,Aqua
55,RGB
56,RED BLUE
57,Sand
59,Red Reaper
60,Skelly
61,Graffiti
62,Samurai
63,RIP 2.0
64,Gold Royale
66,Webbed
67,Bandage
10018,Moon Light
10020,Petrified
10022,Yuletide
10024,Winterforge
10026,Ceramic Relic
10028,Icesolo
10031,Dreamwave
10039,Pyreclaw
10044,Foil
10045,Blossom
10048,TS Cyborg
10053,Mystic
10057,Brilliant Flame Silver
10059,Brilliant Flame Crimson
10061,Brilliant Flame Teal
10063,Brilliant Flame Bronze
